city,city_en,id,area,lon,lat
חברון,hebron,3400,מרכז,35.09982600000001,31.532569
אעצם,A'SAM,963,דרום,34.903102,31.295816
אבירים,ABBIRIM,1220,צפון,35.286044,33.038086
אבו עבדון,ABU ABDUN,958,דרום,34.841655,31.30139699999999
אבו עמאר,ABU AMMAR,1042,דרום,34.954032,31.138356
אבו עמרה,ABU AMRE,932,דרום,34.872739,31.282188
אבו גוש,ABU GHOSH,472,מרכז,35.109193,31.806293
אבו ג'ווייעד,ABU JUWEI'ID,967,דרום,35.072843,31.180663
אבו קורינאת,ABU QUREINAT,968,דרום,34.952003,31.103115
אבו קרינאת,ABU QUREINAT,1342,דרום,34.952003,31.103115
אבו רובייעה,ABU RUBEI'A,966,דרום,34.851612,31.046051
אבו רוקייק,ABU RUQAYYEQ,961,דרום,34.863897,31.25954
אבו סנאן,ABU SINAN,473,צפון,35.171969,32.95803
אבו סריחאן,ABU SUREIHAN,935,דרום,34.881407,31.254333
אבו תלול,ABU TULUL,1375,דרום,34.913514,31.142612
אדמית,ADAMIT,1068,צפון,35.20951,33.078842
עדנים,ADANIM,2035,מרכז,34.909148,32.138798
אדרת,ADDERET,1123,דרום-מרכז,34.99444,31.659715
אדירים,ADDIRIM,113,צפון,35.271637,32.54894100000001
עדי,ADI,1199,צפון,35.173412,32.782353
אדורה,ADORA,3759,דרום-מרכז,35.017634,31.552219
אדורים,ADORAYIM,3987,מרכז,34.751944,31.609538
אפיניש,AFEINISH,959,דרום,34.996386,31.316183
אפק,AFEQ,313,צפון,35.12778,32.838316
אפיק,AFIQ,4301,צפון,35.702994,32.779428
אפיקים,AFIQIM,176,צפון,35.57773,32.680564
עפולה,AFULA,7700,צפון,35.287922,32.610493
עגור,AGUR,794,דרום-מרכז,34.912024,31.697475
אחווה,AHAWA,1157,דרום,34.767848,31.742893
אחיעזר,AHI'EZER,797,מרכז,34.871821,31.981671
אחיהוד,AHIHUD,785,צפון,35.171715,32.907405
אחיסמך,AHISAMAKH,804,מרכז,34.908576,31.931906
אחיטוב,AHITUV,850,צפון-מרכז,34.990826,32.387701
אחוזם,AHUZZAM,821,דרום,34.770151,31.552682
אחוזת ברק,AHUZZAT BARAQ,1330,צפון,35.338893,32.643101
עכו,AKKO,7600,צפון,35.082678,32.933052
אל סייד,AL SAYYID,1359,דרום,34.916298,31.281719
אל עריאן,AL-ARYAN,1316,צפון,35.125094,32.498076
אל עזי,AL-AZY,1339,דרום,34.814254,31.71886799999999
עלי זהב,ALE ZAHAV,3727,צפון-מרכז,35.064135,32.072227
אלפי מנשה,ALFE MENASHE,3750,מרכז,35.014858,32.170631
אלון הגליל,ALLON HAGALIL,1182,צפון,35.220294,32.756874
אלון שבות,ALLON SHEVUT,3604,מרכז,35.125256,31.654871
אלוני אבא,ALLONE ABBA,429,צפון,35.172028,32.730945
אלוני הבשן,ALLONE HABASHAN,4017,צפון,35.838507,33.044087
אלוני יצחק,ALLONE YIZHAQ,868,צפון,35.00519999999999,32.509997
אלונים,ALLONIM,285,צפון,35.143399,32.721459
עלמה,ALMA,688,צפון,35.499636,33.05186
אלמגור,ALMAGOR,1125,צפון,35.60231,32.912709
אלמוג,ALMOG,3556,מרכז,34.851612,31.046051
עלמון,ALMON,3715,מרכז,35.296764,31.832068
עלומים,ALUMIM,1146,דרום,34.514711,31.453049
אלומה,ALUMMA,1145,דרום,34.742872,31.65204099999999
אלומות,ALUMMOT,330,צפון,35.546088,32.706628
אמציה,AMAZYA,23,דרום,34.914463,31.531176
עמיר,AMIR,319,צפון,35.6198305,33.17772610000001
אמירים,AMIRIM,1064,צפון,35.45036500000001,32.937351
עמיעד,AMMI'AD,385,צפון,35.54052100000001,32.930354
עמיעוז,AMMI'OZ,318,דרום,34.413404,31.248463
עמיחי,AMMIHAY,3824,מרכז,34.8566641,31.9352899
עמינדב,AMMINADAV,779,מרכז,35.142428,31.75170499999999
עמיקם,AMMIQAM,773,צפון,35.020326,32.564626
אמנון,AMNUN,1253,צפון,35.571136,32.904989
עמקה,AMQA,708,צפון,35.161807,32.977664
עמוקה,AMUQQA,1212,צפון,35.524801,32.997669
אניעם,ANI'AM,4012,צפון,35.739718,32.956638
ערערה,AR'ARA,637,צפון,35.097292,32.496323
ערערה בנגב,AR'ARA-BANEGEV,1192,דרום,35.0333713,31.1654944
ערד,ARAD,2560,דרום,35.2152179,31.26125469999999
עראמשה,ARAMSHA,1246,צפון,35.228839,33.088834
ארבל,ARBEL,701,צפון,35.486453,32.812247
ארגמן,ARGAMAN,3598,צפון,34.851612,31.046051
אריאל,ARI'EL,3570,צפון-מרכז,35.1745145,32.1046376
ערב אל נעים,ARRAB AL NAIM,1335,צפון,35.290128,32.888073
עראבה,ARRABE,531,צפון,35.3361947,32.8530087
ארסוף,ARSUF,1324,צפון-מרכז,34.815977,32.212841
ערוגות,ARUGOT,593,דרום,34.77624,31.732798
עשהאל,ASA'EL,3861,מרכז,35.0437082,31.373292
אסד,ASAD,960,דרום,34.851612,31.046051
אספר,ASEFAR,3754,מרכז,34.851612,31.046051
עשרת,ASERET,591,מרכז,34.747459,31.824913
אשלים,ASHALIM,1152,דרום,34.699674,30.964245
אשדוד,ASHDOD,70,דרום-מרכז,34.655314,31.804381
אשדות יעקב,ASHDOT YA'AQOV,199,צפון,35.579637,32.65877
אשרת,ASHERAT,1256,צפון,35.1557,32.971645
אשקלון,ASHQELON,7100,דרום,34.5742523,31.6687885
עטאוונה,ATAWNE,969,דרום,34.926949,31.301882
עטרת,ATERET,3658,מרכז,34.851612,31.046051
עתלית,ATLIT,53,צפון,34.9458283,32.6960656
אטרש,ATRASH,965,דרום,34.948716,31.264161
עצמון שגב,ATSMON-SEGEV,917,צפון,35.252335,32.865802
עבדון,AVDON,892,צפון,35.179128,33.048792
אבנת,AVENAT,3786,מרכז,35.436945,31.679039
אביאל,AVI'EL,679,צפון,34.993493,32.531346
אביעזר,AVI'EZER,1070,דרום-מרכז,35.018821,31.681996
אביגיל,AVIGAYIL,3869,מרכז,34.851612,31.046051
אביגדור,AVIGEDOR,819,דרום,34.740369,31.711901
אביחיל,AVIHAYIL,175,צפון-מרכז,34.871229,32.350708
אביטל,AVITAL,2052,צפון,35.306412,32.557676
אביבים,AVIVIM,1115,צפון,35.470338,33.089381
אבני איתן,AVNE ETAN,4011,צפון,35.765777,32.824808
אבני חפץ,AVNE HEFEZ,3793,צפון-מרכז,35.074551,32.284628
אבשלום,AVSHALOM,1311,דרום,34.3312,31.195397
אבטליון,AVTALYON,1275,צפון,35.350442,32.835781
עיינות,AYANOT,156,מרכז,34.768097,31.91579999999999
איילת השחר,AYYELET HASHAHAR,77,צפון,35.576732,33.021115
עזריה,AZARYA,711,מרכז,34.911872,31.890495
אזור,AZOR,565,מרכז,34.8058575,32.0245041
עזריאל,AZRI'EL,837,צפון-מרכז,34.971133,32.262841
עזריקם,AZRIQAM,817,דרום,34.694818,31.751695
בחן,BAHAN,2043,צפון-מרכז,35.018542,32.351831
בלפוריה,BALFURIYYA,94,צפון,35.296281,32.629988
באקה אל גרביה,BAQA AL-GHARBIYYE,6000,צפון,35.035289,32.419305
בר גיורא,BAR GIYYORA,823,דרום-מרכז,35.073414,31.729683
בר כוכבא,BAR KOKHVA,3499,מרכז,34.8856541,32.0943952
בר יוחאי,BAR YOHAY,1191,צפון,35.44819,32.997704
ברעם,BAR'AM,667,צפון,35.433235,33.058979
ברק,BARAQ,141,צפון,35.265291,32.542821
ברקת,BAREQET,2038,מרכז,34.943179,32.018344
ברקן,BARQAN,3654,צפון-מרכז,35.106008,32.109487
ברקאי,BARQAY,617,צפון,35.031044,32.476096
"בסמ""ה",BASMA,1326,צפון,35.103199,32.52940100000001
בסמת טבעון,BASMAT TAB'UN,944,צפון,35.1532,32.736287
בת עין,BAT AYIN,3794,מרכז,34.851612,31.046051
בת הדר,BAT HADAR,1323,דרום,34.597146,31.648125
בת חפר,BAT HEFER,1319,צפון-מרכז,35.013729,32.333714
בת חן,BAT HEN,1361,צפון-מרכז,34.872388,32.360194
בת שלמה,BAT SHELOMO,33,צפון,35.003837,32.600335
בת ים,BAT YAM,6200,מרכז,34.752885,32.0151439
בצרה,BAZRA,389,צפון-מרכז,34.878123,32.214541
באר מילכה,BE'ER MILKA,1278,דרום,34.405643,30.934112
באר אורה,BE'ER ORA,21,דרום,34.987218,29.710166
באר שבע,BE'ER SHEVA,9000,דרום,34.7867691,31.2521018
באר טוביה,BE'ER TUVEYA,155,דרום,34.7244494,31.7343796
באר יעקב,BE'ER YA'AQOV,2530,מרכז,34.83904,31.943507
בארי,BE'ERI,399,דרום,34.492567,31.424513
בארות יצחק,BE'EROT YIZHAQ,450,מרכז,34.910221,32.042025
בארותיים,BE'EROTAYIM,697,צפון-מרכז,34.98343,32.321039
באר גנים,BEER GANNIM,1376,דרום,34.610934,31.7003539
בית ג'ן,BEIT JANN,480,צפון,35.496506,32.71101
בן עמי,BEN AMMI,712,צפון,35.122218,33.005369
בן שמן,BEN SHEMEN,2013,מרכז,34.927831,31.959019
בן זכאי,BEN ZAKKAY,760,מרכז,34.7269959,31.8573529
בניה,BENAYA,685,מרכז,34.751793,31.84344399999999
בני עטרות,BENE ATAROT,448,מרכז,34.910146,32.02147
"בני עי""ש",BENE AYISH,1066,מרכז,34.7599195,31.789097
בני ברק,BENE BERAQ,6100,מרכז,34.835226,32.084932
בני דרום,BENE DAROM,592,מרכז,34.691609,31.82087
בני דרור,BENE DEROR,386,צפון-מרכז,34.901791,32.261795
בני נצרים,BENE NEZARIM,1363,דרום,34.316403,31.143513
בני ראם,BENE RE'EM,588,מרכז,34.790463,31.769972
בני יהודה,BENE YEHUDA,4015,צפון,35.69107,32.798262
בני ציון,BENE ZIYYON,418,צפון-מרכז,34.8652632,32.2185321
בקעות,BEQA'OT,3612,צפון,35.22078700000001,31.759335
בקוע,BEQOA,864,דרום-מרכז,34.924732,31.827899
ברכה,BERAKHA,3710,צפון-מרכז,34.851612,31.046051
ברכיה,BEREKHYA,746,דרום,34.624296,31.66804699999999
ברור חיל,BEROR HAYIL,428,דרום,34.646547,31.55698499999999
ברוש,BEROSH,2060,דרום,34.634978,31.370721
בית אלפא,BET ALFA,95,צפון,35.430499,32.516357
בית עריף,BET ARIF,604,מרכז,34.935103,31.995352
בית אריה,BET ARYE,3652,מרכז,35.049472,32.040059
בית ברל,BET BERL,1076,מרכז,34.9260732,32.1997359
בית דגן,BET DAGAN,466,מרכז,34.8295485,32.002465
בית אל,BET EL,3574,מרכז,35.222734,31.94159999999999
בית אלעזרי,BET EL'AZARI,562,מרכז,34.8005109,31.8456267
בית עזרא,BET EZRA,756,דרום,34.657514,31.736402
בית גמליאל,BET GAMLI'EL,571,מרכז,34.760947,31.856128
בית גוברין,BET GUVRIN,619,דרום,34.895568,31.61288
בית הערבה,BET HAARAVA,3645,מרכז,34.851612,31.046051
בית העמק,BET HAEMEQ,572,צפון,35.145305,32.971014
בית הגדי,BET HAGADDI,723,דרום,34.607878,31.422839
בית הלוי,BET HALEVI,373,צפון-מרכז,34.930443,32.351596
בית חנן,BET HANAN,159,מרכז,34.775596,31.935211
בית חנניה,BET HANANYA,800,צפון,34.926734,32.529504
בית השיטה,BET HASHITTA,242,צפון,35.43935099999999,32.550874
בית חשמונאי,BET HASHMONAY,1050,מרכז,34.917599,31.890298
בית חירות,BET HERUT,877,צפון-מרכז,34.873765,32.376223
בית הלל,BET HILLEL,322,צפון,35.606515,33.208782
בית חלקיה,BET HILQIYYA,2033,מרכז,34.809698,31.793001
בית חגלה,BET HOGLA,3864,מרכז,34.924252,32.38907
בית חורון,BET HORON,3575,מרכז,35.124097,31.87989
בית לחם הגלילית,BET LEHEM HAGELILIT,430,צפון,35.191271,32.734558
בית מאיר,BET ME'IR,751,דרום-מרכז,35.0368443,31.7938824
בית נחמיה,BET NEHEMYA,784,מרכז,34.953835,31.977142
בית נקופה,BET NEQOFA,672,מרכז,35.126876,31.804392
בית ניר,BET NIR,16,דרום,34.873107,31.647627
בית אורן,BET OREN,317,צפון,35.00632,32.731601
בית עובד,BET OVED,202,מרכז,34.774905,31.921287
בית קמה,BET QAMA,598,דרום,34.762248,31.446566
בית קשת,BET QESHET,365,צפון,35.394952,32.718446
בית רבן,BET RABBAN,848,מרכז,34.729755,31.8166376
בית רימון,BET RIMMON,1162,צפון,35.327738,32.781845
בית שאן,BET SHE'AN,9200,צפון,35.497336,32.497103
בית שערים,BET SHE'ARIM,248,צפון,35.179905,32.697679
בית שמש,BET SHEMESH,2610,דרום-מרכז,34.98668550000001,31.7496628
בית שקמה,BET SHIQMA,747,דרום,34.610074,31.637735
בית עוזיאל,BET UZZI'EL,301,מרכז,34.904858,31.87005
בית ינאי,BET YANNAY,200,צפון-מרכז,34.863507,32.381729
בית יהושע,BET YEHOSHUA,288,צפון-מרכז,34.865418,32.262075
בית יצחק שער חפר,BET YIZHAQ-SH. HEFER,326,צפון-מרכז,34.8899779,32.3333417
בית יוסף,BET YOSEF,265,צפון,35.55277299999999,32.558698
בית זית,BET ZAYIT,710,מרכז,35.161117,31.783058
בית זיד,BET ZEID,353,צפון,35.131109,32.702414
בית זרע,BET ZERA,143,צפון,35.574062,32.689296
בית צבי,BET ZEVI,212,צפון,34.8217109,32.0784145
ביתר עילית,BETAR ILLIT,3780,מרכז,35.1146747,31.7029085
בצת,BEZET,589,צפון,35.132636,33.070047
בענה,BI NE,483,צפון,35.27191699999999,32.929538
בנימינה גבעת עדה,BINYAMINA,9800,צפון,34.955096,32.517078
ביר אל מכסור,BIR EL-MAKSUR,998,צפון,35.2216895,32.7781997
ביר הדאג',BIR HADAGE,1348,דרום,34.709138,31.02316
ביריה,BIRIYYA,368,צפון,35.503096,32.978108
ביתן אהרן,BITAN AHARON,252,צפון-מרכז,34.86956,32.364928
בטחה,BITHA,762,דרום,34.634318,31.333869
ביצרון,BIZZARON,234,דרום,34.727378,31.796565
בני דקלים,BNE DKALIM,1368,דרום,34.917033,31.517188
ברוכין,BRUKHIN,3744,צפון-מרכז,35.094113,32.082231
בועיינה נוג'ידאת,BU'EINE-NUJEIDAT,482,צפון,35.3650625,32.8044208
בוקעאתא,BUQ'ATA,4001,צפון,35.7767723,33.2026572
בורגתה,BURGETA,698,צפון-מרכז,34.963848,32.325972
בוסתן הגליל,BUSTAN HAGALIL,559,צפון,35.08068799999999,32.948636
דבוריה,DABBURYE,489,צפון,35.371153,32.6909133
דפנה,DAFNA,302,צפון,35.638268,33.23075
דחי,DAHI,475,צפון,35.343604,32.622491
דאלית אל כרמל,DALIYAT AL-KARMEL,494,צפון,35.0470183,32.6934814
דליה,DALIYYA,300,צפון,35.076965,32.58925
דלתון,DALTON,431,צפון,35.489911,33.016553
דן,DAN,303,צפון,35.653953,33.239637
דברת,DAVERAT,407,צפון,35.350085,32.646729
דגניה א',DEGANYA ALEF,62,צפון,35.575062,32.706938
דגניה ב',DEGANYA BET,79,צפון,35.577551,32.69907
דיר אל אסד,DEIR AL-ASAD,490,צפון,35.268394,32.93445
דיר חנא,DEIR HANNA,492,צפון,35.3662265,32.8622818
דיר ראפאת,DEIR RAFAT,493,דרום-מרכז,34.947439,31.77652999999999
דמיידה,DEMEIDE,1317,צפון,35.2265642,32.8149647
דקל,DEQEL,1241,דרום,34.346771,31.195908
דריג'את,DERIG'AT,1349,דרום,35.076793,31.301885
דבורה,DEVORA,146,צפון,35.263853,32.552895
דימונה,DIMONA,2200,דרום,35.033363,31.069419
דישון,DISHON,2063,צפון,35.517572,33.082318
דולב,DOLEV,3747,מרכז,34.851612,31.046051
דור,DOR,738,צפון,34.923316,32.607802
דורות,DOROT,336,דרום,34.645725,31.507207
"דוב""ב",DOVEV,1067,צפון,35.407747,33.0508
דביר,DVIR,849,דרום,34.825177,31.411699
אפרת,EFRAT,3650,מרכז,35.152073,31.6570062
עיילבון,EILABUN,530,צפון,35.4038304,32.8348489
עין אל אסד,EIN AL-ASAD,546,צפון,35.401027,32.940754
עין חוד,EIN HOD,1320,צפון,34.999058,32.691361
עין מאהל,EIN MAHEL,532,צפון,35.3553423,32.7234184
עין נקובא,EIN NAQQUBA,521,מרכז,35.11968299999999,31.79391
עין קנייא,EIN QINIYYE,4502,צפון,35.7313062,33.2366802
עין ראפה,EIN RAFA,514,מרכז,35.116514,31.790605
אלעד,EL'AD,1309,מרכז,34.95075,32.04953
אלעזר,EL'AZAR,3618,מרכז,35.143074,31.659676
אל רום,EL-ROM,4003,צפון,35.770095,33.180519
אילת,ELAT,2600,דרום,34.951925,29.557669
עלי,ELI,3765,צפון-מרכז,34.851612,31.046051
אלי עד,ELI-AD,4002,צפון,35.73657499999999,32.806583
אליאב,ELIAV,1365,דרום,34.928414,31.530203
אליפז,ELIFAZ,1248,דרום,35.012094,29.79624799999999
אליפלט,ELIFELET,730,צפון,35.548516,32.947834
אלישמע,ELISHAMA,841,מרכז,34.930461,32.154778
אילון,ELON,294,צפון,35.219162,33.062526
אלון מורה,ELON MORE,3579,צפון-מרכז,34.851612,31.046051
אילות,ELOT,1126,דרום,34.963023,29.580548
אלקנה,ELQANA,3560,מרכז,34.851612,31.046051
אלקוש,ELQOSH,603,צפון,35.326348,33.034294
אליכין,ELYAKHIN,41,צפון,34.925028,32.407659
אליקים,ELYAQIM,682,צפון,35.067613,32.633345
אלישיב,ELYASHIV,204,צפון,34.909945,32.380196
אמונים,EMUNIM,772,דרום,34.674492,31.743885
עין איילה,EN AYYALA,687,צפון,34.944296,32.629963
עין דור,EN DOR,436,צפון,35.416388,32.655468
עין גדי,EN GEDI,2042,דרום,35.383571,31.451191
עין גב,EN GEV,273,צפון,35.640119,32.783393
עין הבשור,EN HABESOR,1240,דרום,34.443446,31.280895
עין העמק,EN HAEMEQ,367,צפון,35.082246,32.629664
עין החורש,EN HAHORESH,167,צפון-מרכז,34.939994,32.385871
עין המפרץ,EN HAMIFRAZ,289,צפון,35.09303999999999,32.902581
"עין הנצי""ב",EN HANAZIV,383,צפון,35.501973,32.47071
עין חרוד,EN HAROD,89,צפון,35.3913041,32.5616446
עין השלושה,EN HASHELOSHA,676,דרום,34.403471,31.351722
עין השופט,EN HASHOFET,270,צפון,35.100445,32.596811
עין חצבה,EN HAZEVA,1053,דרום,35.24534,30.797209
עין הוד,EN HOD,74,צפון,34.982716,32.700292
עין עירון,EN IRON,223,צפון,35.010069,32.484427
עין כרם,EN KAREM-B.S.HAQLA'I,1056,מרכז,35.1623714,31.7671028
עין כרמל,EN KARMEL,426,צפון,34.953676,32.677912
עין שריד,EN SARID,880,צפון-מרכז,34.93418,32.274901
עין שמר,EN SHEMER,139,צפון,35.00673,32.461917
עין תמר,EN TAMAR,1251,דרום,35.37407,30.943594
עין ורד,EN WERED,157,צפון-מרכז,34.930705,32.264467
עין יעקב,EN YA'AQOV,813,צפון,35.229024,33.009312
עין יהב,EN YAHAV,806,דרום,35.2367899,30.6574941
עין זיוון,EN ZIWAN,4503,צפון,35.796313,33.09645
עין צורים,EN ZURIM,622,דרום,34.718683,31.694936
עינת,ENAT,871,מרכז,34.937514,32.081948
ענב,ENAV,3712,צפון-מרכז,35.125198,32.283594
ארז,EREZ,714,דרום,34.564889,31.55984
אשבול,ESHBOL,71,דרום,34.666654,31.44551599999999
אשל הנשיא,ESHEL HANASI,2021,דרום,34.697497,31.326828
אשחר,ESHHAR,1188,צפון,35.299622,32.885084
אשכולות,ESHKOLOT,3722,מרכז,34.4641848,31.2068084
אשתאול,ESHTA'OL,740,דרום-מרכז,35.0105387,31.7793067
איתן,ETAN,37,דרום,34.747909,31.572213
איתנים,ETANIM,886,דרום-מרכז,35.095169,31.7789
אתגר,ETGAR,1298,צפון,35.256072,32.859351
אבן מנחם,EVEN MENAHEM,1081,צפון,35.295219,33.075143
אבן ספיר,EVEN SAPPIR,783,מרכז,35.134991,31.7625
אבן שמואל,EVEN SHEMU'EL,400,דרום,34.762963,31.576429
אבן יהודה,EVEN YEHUDA,182,צפון-מרכז,34.8809634,32.2700426
גלעד,EVEN YIZHAQ,369,צפון,35.076559,32.558075
עברון,EVRON,376,צפון,35.100031,32.991149
